Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
993,16192414.0,CCOC(=O)C1(CCN(CC1)CC2=CC=C(C=C2)C(=O)OC)CC3CC3,42.8 [ug/mL] (The mean of the results at pH 7.4),42.8 [ug/mL] (The mean of the results at pH 7.4)
994,16192431.0,CN(CCC1CCOCC1)CC2=NC(=NO2)CC3=CC=CC=C3F,>50 [ug/mL] (The mean of the results at pH 7.4),>50 [ug/mL] (The mean of the results at pH 7.4)
995,16192433.0,CC(=CCN1CCN(CC1CCO)CC#CC2=CC=CC=C2)C,37.9 [ug/mL] (The mean of the results at pH 7.4),37.9 [ug/mL] (The mean of the results at pH 7.4)
996,16192436.0,CC(C)N1CCN(CC1CCO)CC2=CC(=CC=C2)N3C=CC=N3,46 [ug/mL] (The mean of the results at pH 7.4),46 [ug/mL] (The mean of the results at pH 7.4)
997,16192507.0,C=CCC(=O)N1CCCC(C1)CCC(=O)NCC2=CC=CC=C2F,>49.9 [ug/mL] (The mean of the results at pH 7.4),>49.9 [ug/mL] (The mean of the results at pH 7.4)
998,16192518.0,CC(C1=NC=CS1)N(C)C2=NC3=NON=C3N=C2NC4CC4,9.6 [ug/mL] (The mean of the results at pH 7.4),9.6 [ug/mL] (The mean of the results at pH 7.4)
999,16192538.0,C1CCN2CCCC(C2C1)COC(=O)/C=C/C3=CC=CO3.Cl,>48.9 [ug/mL] (The mean of the results at pH 7.4),>48.9 [ug/mL] (The mean of the results at pH 7.4)
1000,16192568.0,CC(C)(C)C1=CC=C(C=C1)C2=C(C=CC=N2)O.Cl,10.6 [ug/mL] (The mean of the results at pH 7.4),10.6 [ug/mL] (The mean of the results at pH 7.4)
1001,16192586.0,CCN(CC)CCN1C2=CC=CC=C2N=C1N.Cl,44.7 [ug/mL] (The mean of the results at pH 7.4),44.7 [ug/mL] (The mean of the results at pH 7.4)
1002,16192591.0,C1C2CC3(CC1CC(C2)(C3)C4=CC=C(C=C4)Cl)CN.Cl,>46.8 [ug/mL] (The mean of the results at pH 7.4),>46.8 [ug/mL] (The mean of the results at pH 7.4)
1003,16192592.0,CCN(CC)CCSC1=NC2=C(N1)C=C(C=C2)OC.Cl,>52.8 [ug/mL] (The mean of the results at pH 7.4),>52.8 [ug/mL] (The mean of the results at pH 7.4)
