,SMILES,Unit,sol_final
303,C1=CC2=C(C=C1S(=O)(=O)O)C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)O)O,ml,0.0
304,CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,ug/mL,0.0422
305,CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,mg/L,0.0018
306,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,ug/mL,0.171
307,CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3,mg/L,0.0023
308,C1=CN=CC=C1C(=O)NN,ug/mL,0.0137
309,CC(C)O,mg/mL,100.0
310,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,mg/L,0.01
311,C1=CC2=C(C(=O)C=CC2=O)C(=C1)O,mg/L,5.121
312,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,mg/L,0.0077
313,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,mg/L,0.0003
314,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O,ug/mL,0.0284
315,C1=CC=C(C=C1)CC(C(=O)O)O,mg/L,0.0064
316,C1=CC=C(C=C1)C(C(=O)O)N,mg/mL,115.0
317,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,ug/mL,0.0554
318,[Li+].[OH-],ml,0.0
319,CN(CCCN1C2=CC=CC=C2CCC3=CC=CC=C31)CC(=O)C4=CC=C(C=C4)Cl,mg/L,0.0014
320,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,mg/L,0.0014
321,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,ug/mL,0.0386
322,CC1=NN(C(=O)C1)C2=CC=CC=C2,ug/mL,0.0254
323,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)[O-])Cl.[Na+],ug/mL,0.0477
324,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,ug/mL,0.0362
325,CCN(CC)CCNC(=O)COC1=CC=C(C=C1)OC,ug/mL,0.032
