,SMILES,Unit,sol_final
8657,C1CCC(CC1)NC(=O)C2CC(=O)N(C2)CC3=CC=CC=C3,ug/mL,0.0451
8658,C1C(=O)NC2=CC=CC=C2N1C(=O)CN3C(=O)C(NC3=O)(C4=CC=CC=C4)C5=CC=CC=C5,ug/mL,0.0063
8659,CC(C)(C)C(=O)CSC1=NC=NC2=C1C3=C(S2)CCC3,ug/mL,0.0007
8660,CCOC(=O)CN1C(=O)C2(CCCC3=CC=CC=C32)NC1=O,ug/mL,0.0453
8661,CC1=CC(=C(N1CC2CCCO2)C)C(=O)COC3=C(C=CC(=C3)F)[N+](=O)[O-],ug/mL,0.0344
8662,COC1=CC=C(C=C1)NC2=NN=C(S2)SCC3CCCCO3,ug/mL,0.0041
8663,CC(=O)C1=CC=C(C=C1)NC(=O)CC2=CSC=C2,ug/mL,0.0389
8664,CC1=CC=C(C=C1)C(=O)NCC(=O)OCN2C(=O)C3=CC=CC=C3N=N2,ug/mL,0.0157
8665,C1CCN(CC1)C2=CC=C(C=C2)NC(=O)CSC3=NN=CS3,ug/mL,0.0461
8666,COC1=C(C=C(C=C1)CSC2=NN=NN2C3=CC=C(C=C3)O)F,ug/mL,0.0197
8667,C1=CC=C(C=C1)NC(=O)CCNC(=O)C2=CC=CO2,ug/mL,0.0387
8668,CC1=NC(=C(C=C1)OCC(=O)NC2=CC=C(C=C2)Cl)[N+](=O)[O-],ug/mL,0.0087
8669,CC1=NC(=C(C=C1)OC(C)C(=O)NC2=CC=C(C=C2)F)[N+](=O)[O-],ug/mL,0.0397
8670,CC1=NC(=C(C=C1)OCC(=O)NC(C)C2=CC=CC=C2)[N+](=O)[O-],ug/mL,0.0471
8671,CC1=NN=C(S1)SC(C)C(=O)NC2CCCCC2,ug/mL,0.0428
8672,CC1=NC(=C(C=C1)OCC(=O)N2CCC3=CC=CC=C3C2)[N+](=O)[O-],ug/mL,0.0491
8673,C1CN(CC2=CC=CC=C21)CC(=O)NC3=CC=C(C=C3)OC(F)(F)F,ug/mL,0.0009
8674,CN(CC(=O)NC(=O)NC1CCCCC1)C2=CC=CC=C2,ug/mL,0.0067
8675,C1CN(CCN1CC(=O)NC2=C(C=CC(=C2)F)F)C3=CC=CC=N3,ug/mL,0.0499
8676,C1COCCN1C2=NC(=O)C(S2)CC(=O)NC3=CC=CC=C3F,ug/mL,0.0506
8677,CC(C(=O)NC1=CC=CC2=CC=CC=C21)SC3=NNC(=N3)N,ug/mL,0.0403
8678,CC(C(=O)N1CCC2=CC=CC=C21)SC3=NC=CC=N3,ug/mL,0.0333
8679,C1CCC(CC1)(C#N)NC(=O)CSC2=NC3=CC=CC=C3S2,ug/mL,0.0464
8680,C1CN(CCC1C(=O)NC2=NC=CS2)S(=O)(=O)C3=CC=CC=C3,ug/mL,0.0437
8681,CN1C(=O)C2=CC=CC=C2C(=N1)C(=O)NCCOC3=CC=CC=C3,ug/mL,0.0391
8682,C1=CC=C(C=C1)NC(=O)CCCN2C3=CC=CC=C3OC2=O,ug/mL,0.0422
8683,C1COCCN1C2=CC(=C(C=C2)NC(=O)C3=CC=C(C=C3)F)N4CCOCC4,ug/mL,0.0422
8684,CN(C)S(=O)(=O)C1=CC=CC(=C1)C(=O)NC2=CC=CC=C2C(=O)NC3CC3,ug/mL,0.047
8685,C1=CC=C(C=C1)NNC(=O)NC2=CC=CC=C2F,ug/mL,0.0254
8686,CN1C=CC=C1CC(=O)NNC(=O)NC2=CC=CC=C2F,ug/mL,0.0412
8687,CC1=CC=CC=C1C2=NC(=C(O2)N3CCCC3)S(=O)(=O)C4=CC=CC=C4,ug/mL,0.0101
8688,CC1=CC=CC=C1C2=NC(=C(O2)NCCCN3CCOCC3)S(=O)(=O)C4=CC=CC=C4,ug/mL,0.0449
8689,COC1=CC=C(C=C1)C2=NC(=C(O2)NCCCN3CCOCC3)S(=O)(=O)C4=CC=CC=C4,ug/mL,0.0678
8690,C1CC2=CC=CC=C2N(C1)C(=O)CN3C=C(C=CC3=O)[N+](=O)[O-],ug/mL,0.047
8691,C1=CC=C2C(=C1)C=C(O2)C(=O)NCCC3=CC=CC=N3,ug/mL,0.0377
8692,C1=CC=C2C(=C1)C=CC(=N2)NCC3=CC=C(C=C3)S(=O)(=O)N,ug/mL,0.0128
8693,CCN(CC)C1=NC2=CC=CC=C2N(C1=O)CC3=CC(=CC=C3)OC,ug/mL,0.0003
8694,CCN(CC)S(=O)(=O)C1=CN=C(C=C1)NCCC2=CC=CC=N2,ug/mL,0.0492
8695,CN(C)C(CNC1=NC=CC=N1)C2=CC=CC=C2,ug/mL,0.0326
8696,COC1=C(C=C(C=C1)CCNC(=O)C2=CNC(=O)C=C2)OC,ug/mL,0.0453
8697,CC1=C(C(=NN1C)C)NC(=O)COC2=CC=C(C=C2)Cl,ug/mL,0.0441
8698,CN(C)C(CNC(=O)C1=CC(=C(C=C1)SC)[N+](=O)[O-])C2=CC=CO2,ug/mL,0.0524
8699,C1CC2=C(C=CS2)C3(C1)C(=O)N(C(=O)N3)CC(=O)N,ug/mL,0.0419
8700,COC1=CC=CC=C1N2CCN(CC2)CC3=NC4=CC=CC=C4N3,ug/mL,0.0479
8701,C1C(N(N=C1C2=CC=C(C=C2)Cl)C(=O)C3=CC=NC=C3)C4=CC=CC=C4O,ug/mL,0.0057
8702,COC1=C(C=C(C=C1)CCC(=O)NC2CCCC3=CC=CC=C23)OC,ug/mL,0.0475
8703,C1CC2=CC=CC=C2N(C1)C(=O)COC3=CC=CC=C3C(=O)N,ug/mL,0.0466
8704,CC1=CC(=NC2=CC=CC=C12)NCC3CCCCC3,ug/mL,0.0214
8705,CC1=CC2=C(C=C1NS(=O)(=O)C3=CC=CC=C3)SC(=O)O2,ug/mL,0.0428
8706,COC1=CC=C(C=C1)C2=NC(=NN2)SCC(=O)N3CCCC3,ug/mL,0.026
8707,CC1=CC(=C(C=C1)OCC(=O)NC2CCCCCC2)OC,ug/mL,0.0405
8708,CC(=O)C1=CC(=CC=C1)OCC(=O)NC2CCCCCC2,ug/mL,0.0434
8709,CC1=CC(=C(C=C1NS(=O)(=O)C2=CC=C(C=C2)OC)SC3=NC=NN3)O,ug/mL,0.0589
8710,CC1=C(C(=CC=C1)C)NC(=O)CN2C(=O)C3CC=CCC3C2=O,ug/mL,0.0469
8711,C1C(OC2=CC=CC=C2O1)C(=O)NNS(=O)(=O)C3=CC=CC=C3Cl,ug/mL,0.0224
8712,CC1=NC2=C(S1)C=C(C=C2)NC(=O)C3CCCCC3,ug/mL,0.0132
8713,COC1=CC(=C(C=C1)OC)NC(=O)CCCSC2=CC=CC=C2,ug/mL,0.0137
8714,CC1CC2=CC=CC=C2N1S(=O)(=O)C3=CC=CC(=C3)C(=O)NCC4=CC=CO4,ug/mL,0.0147
8715,COC1=CC=CC=C1C(=O)NCC(=O)NCCC2=CC=C(C=C2)Cl,ug/mL,0.0388
8716,CCC1=C2C(=CC=C1)C(=CN2)C3=CSC(=N3)NCCOC,ug/mL,0.0224
8717,C1CCCC(CCC1)NC(=O)CSC2=NN=CS2,ug/mL,0.0428
8718,CC1=C(C(=CC=C1)NC(=O)CNC(=O)CN2C(=O)C(=C(C=N2)Cl)Cl)C,ug/mL,0.049
8719,CCSC1=NN=C(S1)NC(=O)CCNC(=O)C2=CC=CC=C2Cl,ug/mL,0.0088
8720,CC1=C(C=C(C=C1OC)C(=O)NCC2(CCCCC2)N3CCOCC3)OC,ug/mL,0.0058
8721,C1CCC(C1)C(=O)N2CCN(CC2)S(=O)(=O)C3=CC=CC=C3C#N,ug/mL,0.0521
8722,C1=CC=C(C=C1)C(=O)NNC(=O)C2=CC3=C(C=C2)N=CN3,ug/mL,0.042
8723,C1=CC(=CC(=C1)F)NC(=O)CCCNC(=O)C2=CC=C(C=C2)Cl,ug/mL,0.0056
8724,C1COC2=C(O1)C=CC(=C2)C(=O)NNC(=O)C3=CC=CC=C3Cl,ug/mL,0.0345
8725,COC1=CC=CC=C1NC(=O)CCN2C(=O)C3CC=CCC3C2=O,ug/mL,0.0493
8726,COC1=CC=CC(=C1)CNC(=O)CCCNC(=O)C2=CC=C(C=C2)Cl,ug/mL,0.0378
8727,COC1=CC=CC=C1NC(=O)NC2=CC3=C(CCC3)C=C2,ug/mL,0.0003
8728,C1C(CN(C1=O)CC2=CC=CO2)C(=O)NC3=C(C=C(C=C3)Cl)F,ug/mL,0.0505
8729,CC1=CC(=CC=C1)OCC(=O)NCC(C2=CC=CO2)N3CCCC3,ug/mL,0.0493
8730,CC1=C(C=CC=C1[N+](=O)[O-])C(=O)NC2CCCC3=CC=CC=C23,ug/mL,0.0061
8731,C1C(C1(Cl)Cl)C(=O)NC2=CC3=C(C=C2)OCO3,ug/mL,0.0411
8732,COC1=CC=CC=C1CNC(=O)CCCNC(=O)C2=CC=C(C=C2)Cl,ug/mL,0.0206
8733,C1=CC=NC(=C1)C(=O)NNC(=O)C2=CC=C(C=C2)OC(F)F,ug/mL,0.0461
8734,CC1=CC(=C2C=C(C=CC2=N1)OC)NCC3=CC=C(C=C3)OC,ug/mL,0.0378
8735,CC1=CC(=C(C=C1)C)NC(=O)CC2=NC(=CS2)CNCC(C)C,ug/mL,0.0471
8736,CC1=C(C2=C(C=C1)C(=CC(=O)O2)CNCC3=CC=CC=C3OC)C,ug/mL,0.0036
8737,CC1=CC=C(C=C1)CNC(=O)CNC(C)C2=CC=CC=C2OC,ug/mL,0.0469
8738,CC1C2=CC=CN2CCN1S(=O)(=O)C3=CC=CC=C3OC,ug/mL,0.046
8739,CC(C1=CC=C(C=C1)F)NC(=O)CCCC2=CNC3=CC=CC=C32,ug/mL,0.0415
8740,CC1C2=CC=CN2CCN1S(=O)(=O)C3=CC=C(C=C3)F,ug/mL,0.0442
8741,C1=CC=C(C(=C1)C2=NC(=NN2)SCC(=O)NC3=C(C=CC(=C3)F)F)F,ug/mL,0.0088
8742,C1CN(CC2=CC=CC=C21)C(=O)CN3C=C(C=CC3=O)[N+](=O)[O-],ug/mL,0.047
8743,COC1=C(C=C(C=C1)CC(=O)NCC2=CC=C(C=C2)F)S(=O)(=O)N3CCOCC3,ug/mL,0.0634
8744,CC1=CC(=C(C=C1)C)SCC(=O)NC2=CC(=CC=C2)S(=O)(=O)N3CCOCC3,ug/mL,0.0214
8745,C1=COC(=C1)CSCCNC(=O)C2=CNC(=O)C=C2,ug/mL,0.0382
8746,COC1=NC=C(C=C1)NC(=O)COC2=CC=CC=C2CC3=CC=CC=C3,ug/mL,0.0122
8747,CC1=CSC(=N1)NC(=O)CCCNC(=O)C2=CC=C(C=C2)Cl,ug/mL,0.0102
8748,C1=CC=C2C(=C1)C(=O)N(C=N2)CC(=O)NNC(=O)C3=CC=CC=C3F,ug/mL,0.0206
8749,CN1C(=O)C2=CC=CC=C2C(=N1)C(=O)NCC(C3=CC=CS3)N4CCOCC4,ug/mL,0.0598
8750,C1CCCN(CC1)C(=O)COC(=O)C2=C(C=C(C=C2)F)F,ug/mL,0.0444
8751,CSC1=CC=CC=C1C(=O)OCC(=O)N2CCCCCC2,ug/mL,0.0461
8752,CC1=C(NC(=C1C(=O)C)C)C(=O)COC(=O)C2(CC2(Cl)Cl)C,ug/mL,0.0119
8753,C1=CSC(=C1)CNC(=O)COC(=O)C2=C(C=C(C=C2)Cl)N,ug/mL,0.0077
8754,C1CC(C2=CC=CC=C2C1)NC(=O)COC(=O)C3=C(N=CC=C3)Cl,ug/mL,0.0517
8755,C=CCNC1=NC(=CS1)C(=O)OCC(=O)NC2=CC=CC=C2C(F)(F)F,ug/mL,0.0269
8756,CC1=CC=C(C=C1)NP(=O)(C2=CC=CC=C2)C3=NC4=CC=CC=C4S3,ug/mL,0.0022
8757,CC1=C(C=CC=C1[N+](=O)[O-])C(=O)NC(C)C2CC3CCC2C3,ug/mL,0.0343
8758,CCC(CO)N1C(=O)C2=CC(=C(C=C2NC1=S)OC)OC,ug/mL,0.0466
8759,C1=CC=C(C=C1)C2=NN=C(O2)SCC(=O)NC3=CC(=CC=C3)S(=O)(=O)N,ug/mL,0.0586
8760,CS(=O)(=O)N1CC2=CC=CC=C2CC1C(=O)OCC(=O)NCCC3=CC=C(C=C3)S(=O)(=O)N,ug/mL,0.0591
8761,C1=CC(=CC=C1C(=O)NCC(=O)OCC(=O)NC2=C(C=CS2)C(=O)N)Cl,ug/mL,0.0034
8762,CN(C)C(CNC(=O)C1=C(C=CC(=C1)S(=O)(=O)N2CCOCC2)F)C3=CC=CS3,ug/mL,0.0662
8763,CN(CC(=O)NCCC1=CC=C(C=C1)S(=O)(=O)N)CC(=O)NC2=C(C(=C(C=C2)F)F)F,ug/mL,0.0688
8764,CC1=CC(=CC=C1)OCC(=O)OCC(=O)NC2=C(C=CS2)C(=O)N,ug/mL,0.0442
8765,C1CN(CCN1C(=O)CC2=NNC(=O)C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4C#N,ug/mL,0.0046
8766,CCOC(=O)C1=C(NC(=O)NC1C2=CC=C(O2)[N+](=O)[O-])C,ug/mL,0.0427
8767,COC1=C(C=C(C=C1)[N+](=O)[O-])NS(=O)(=O)C2=CC=CC(=C2)C(=O)NCCCN3CCCC3=O,ug/mL,0.0715
8768,CC1=CC(=C(C(=C1C)S(=O)(=O)N2CCN(CC2)CC(=O)NCC3=CC(=C(C=C3)OC)OC)C)C,ug/mL,0.0035
8769,CC(C1CC2CCC1C2)NC(=O)C(C)OC(=O)CNC(=O)C3=CC(=CC(=C3)OC)OC,ug/mL,0.0649
8770,C1CCC2C(C1)C(=O)N(C2=O)CC(=O)N3CCCSC3=NC4=CC=CC=C4,ug/mL,0.0578
8771,CC1=C(C=C(C=C1)S(=O)(=O)NCCC(=O)NC2=CC(=CC=C2)S(=O)(=O)N3CCCC3)C,ug/mL,0.0305
8772,C1C(CN(C1C(=O)NN)S(=O)(=O)C2=CC=C(C=C2)Cl)O,ug/mL,0.0377
8773,CC(=O)N1CCN(CC1)CC(=O)NC2=CC(=CC=C2)S(=O)(=O)N3CCCCC3,ug/mL,0.0613
8774,CN(C)C1=CC=CC(=C1)C(=O)NNC(=S)NC2CC3CCC2C3,ug/mL,0.0376
8775,C1CCCN(CC1)S(=O)(=O)C2=CC=CC(=C2)C(=O)NC3=CC(=CC=C3)S(=O)(=O)N,ug/mL,0.0499
8776,COC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)COC(=O)CC3=CC=CC=C3,ug/mL,0.0517
8777,C1CCN(C1)C2=C(C=C(C=C2)S(=O)(=O)N3CCOCC3)NC(=O)C4=CC=CC(=C4)C#N,ug/mL,0.0661
8778,C1CCN(C1)S(=O)(=O)C2=CC=CC(=C2)NC(=O)CN3C4=CC=CC=C4N=C3NCCO,ug/mL,0.0631
8779,COC1=CC=C(C=C1)C2=NN(C(C2)C3=CC=CO3)C(=O)COC(=O)C4=CC(=C(C=C4)S(=O)(=O)C)[N+](=O)[O-],ug/mL,0.0077
8780,COC1=C(C=C(C=C1)NS(=O)(=O)C2=CC(=C(C=C2)O)[N+](=O)[O-])S(=O)(=O)N3CCCCC3,ug/mL,0.0707
8781,CC(=O)C(CC1=CC=CC=C1)NC(=O)COC(=O)C2=CC=C(C=C2)N3C=NN=N3,ug/mL,0.0267
8782,CCOC1=CC(=C(C=C1NC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCOCC3)OCC)N4CCOCC4,ug/mL,0.0779
8783,CC(C)(C)N(CC1=CC=CC=C1)C(=O)COC(=O)C2=CC=CC=C2C(=O)N(C)CC3=CC=CC=C3,ug/mL,0.0257
8784,CCCCN1C(=C(C(=O)NC1=O)N(CCOC)C(=O)CSC2=NN=C(N2CC)C3=CC=CO3)N,ug/mL,0.0737
8785,CCC(CO)NCC(COCC1=CC2=C(C=C1)OCO2)O,ug/mL,0.0446
8786,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NCCC(=O)OCC(=O)NC2=C(C=C(C=C2)OC)[N+](=O)[O-],ug/mL,0.0425
8787,CC1CCCC(C1C)NC(=O)CSC2=NN=C(N2N)C,ug/mL,0.037
8788,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N2CCN(CC2)C(=O)CCC(=O)NC3=NN=C(S3)C,ug/mL,0.0142
8789,CC1=C(C=C(C=C1)NC(=O)C2=C(C3=CC=CC=C3O2)COC(C)C)S(=O)(=O)N4CCOCC4,ug/mL,0.0036
8790,CN(C)S(=O)(=O)C1=CC=CC(=C1)NC(=O)C2=NNC(=O)C3=CC=CC=C32,ug/mL,0.0078
8791,COC1=C(C=C(C=C1)NC(=O)CN2C=CC(=N2)C(F)(F)F)S(=O)(=O)N3CCOCC3,ug/mL,0.0667
8792,C1CCN(C1)C(CNC(=S)NC2=CC=CC=C2)C3=CC=CO3,ug/mL,0.0473
8793,C1CC(CN(C1)C(=S)NCC2=CC3=C(C=C2)OCO3)C(=O)N,ug/mL,0.0482
8794,CC(C1=C(C=C(C=C1)Cl)Cl)NC(=O)CC2=CSC=C2,ug/mL,0.0038
8795,COC1=CC=C(C=C1)OCC2=NN=C(N2N)SCC(=O)NCC3CCCO3,ug/mL,0.0434
8796,CC1CN(CC(O1)C)S(=O)(=O)C2=C(C=CC(=C2)C(=O)NCCCN3CCCC3=O)Cl,ug/mL,0.0687
8797,CC1CC1C(=O)NC2=NC(=CS2)C3=CC=C(S3)Cl,ug/mL,0.0006
8798,CCN1C=C(C2=CC=CC=C21)C3CC(=O)NC3=O,ug/mL,0.0363
8799,CC1=CN=C(C=N1)C(=O)OCC(=O)N(CC(C)C)C2CCS(=O)(=O)C2,ug/mL,0.0554
8800,CC(C1CC2CCC1C2)NS(=O)(=O)C3=CC=CC=C3Cl,ug/mL,0.0011
8801,CCOC(=O)C1=C(NC(=O)NC1C)COC(=O)C2=CC=C(S2)[N+](=O)[O-],ug/mL,0.0554
8802,COC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCO3)S(=O)(=O)N4CCOCC4,ug/mL,0.0147
8803,C1CS(=O)(=O)CC1NC(=O)CSC2=NN=C(S2)SCCC(=O)O,ug/mL,0.0596
8804,CN1CC(=O)N(C1=O)CC(=O)NC2=C(C=CC(=C2)S(=O)(=O)N3CCOCC3)OC,ug/mL,0.064
8805,CC(CC1=NN=C(N1N)SC(C)C(=O)N)C2=CC=CC=C2,ug/mL,0.0388
8806,CN(C1CCS(=O)(=O)C1)C(=O)CSC2=NC3=C(C=C(C=C3)O)C(=O)N2C4=CC(=C(C=C4)OC)OC,ug/mL,0.0353
8807,CCCCN(C1=C(N(C(=O)NC1=O)CCC)N)C(=O)C2CC(=O)N(C2)C3=CC4=C(C=C3)OCCO4,ug/mL,0.0728
8808,CC(=O)C1=CC=C(C=C1)NC(=S)NCC(C2=CC=CO2)N3CCCC3,ug/mL,0.0525
8809,CCC1=CC=C(C=C1)NC(=S)N2CCCC(C2)C(F)(F)F,ug/mL,0.0061
8810,CC(C1CC1)N(CC2=CC=CC=C2)C(=S)NC3=CC=CC=C3Cl,ug/mL,0.0011
8811,CC(C)CCNCC(CON=C1C2=CC=CC=C2C3=CC=CC=C31)O,ug/mL,0.0474
8812,CSCCCNC(=S)N1CCC2=CC=CC=C2C1,ug/mL,0.0421
8813,CC1=COC2=CC3=C(C=C12)C(=C(C(=O)O3)CCC(=O)NC4CC4)C,ug/mL,0.0167
8814,C1CCC(C1)N2C(=O)C(=O)N(C2=O)CC(=O)NC3=C(C=CC(=C3)Cl)[N+](=O)[O-],ug/mL,0.0266
8815,CC1=COC2=CC3=C(C=C12)C(=C(C(=O)O3)CCC(=O)NCC4=CC=CC=N4)C,ug/mL,0.0034
8816,CC(C)CNC(C)C(=O)NC1=CC=C(C=C1)S(=O)(=O)N,ug/mL,0.0449
8817,CN(CC1COC2=CC=CC=C2O1)C(=S)NC3=CC=C(C=C3)OC,ug/mL,0.0026
8818,CCOC(=O)N1CCN(CC1)C2=NC=C(C=C2)S(=O)(=O)N3CCOCC3,ug/mL,0.047
8819,CC(C(=O)N1CCC2=CC=CC=C21)N3CCN(CC3)CC4=CC=CC=C4,ug/mL,0.0524
8820,C1CCN(CC1)S(=O)(=O)C2=CC=CC(=C2)NC(=O)CN3C=NN=N3,ug/mL,0.0332
8821,C1CCN(CC1)C(CNC(=O)C2=CC=C(S2)[N+](=O)[O-])C3=CC=CO3,ug/mL,0.0524
8822,CC(=O)C1=CC=CC=C1NCC(=O)NC2=CC(=C(C=C2)OC)S(=O)(=O)N3CCOCC3,ug/mL,0.0639
8823,CC1=CC2=C(C=C1)C(=CC(=N2)N3CCN(CC3)C4=CC=C(C=C4)OC)C,ug/mL,0.0011
8824,CC1CC2=CC=CC=C2N1S(=O)(=O)C3=CC=CC(=C3)C(=O)N4CCN(CC4)C(=O)C,ug/mL,0.0641
8825,C1=CC(=C(C=C1C(=O)OCC2=CC=NC=C2)[N+](=O)[O-])N,ug/mL,0.014
8826,CN(C)C(CNC(=O)C1=C(C=CC(=C1)S(=O)(=O)N2CCN(CC2)C3=CC=CC=C3)Cl)C4=CC=C(C=C4)OC,ug/mL,0.0494
8827,COC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)COC(=O)CN2C=NC3=CC=CC=C3C2=O,ug/mL,0.0619
8828,COC1=CC(=C(C=C1)NC(=O)COC(=O)CN2C(=O)C3CC=CCC3C2=O)[N+](=O)[O-],ug/mL,0.0626
8829,C1C(C1(Cl)Cl)CNC(=O)NC2=CC(=C(C=C2)Cl)Cl,ug/mL,0.0091
8830,CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)NC(=O)CCN2C(=O)C=CC(=O)N2)C,ug/mL,0.0442
8831,CCN1CCN(CC1)C(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N(C)C,ug/mL,0.0761
8832,CC1CN(CC(O1)C)C(=O)COC(=O)CNS(=O)(=O)C2=CC=C(C=C2)NC(=O)C,ug/mL,0.0641
8833,CC1=C(C=C(C=C1)S(=O)(=O)N2CCCCC2)NC(=O)CN3CCN(CC3)C(=O)C,ug/mL,0.0634
8834,C1=CC(=CC(=C1)S(=O)(=O)N)NC(=O)C2=CC=C(C=C2)NC(=O)CC#N,ug/mL,0.0462
8835,CC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CC(=C2)C(=O)OCC(=O)N(CC3=CC=CC=C3)C(C)(C)C,ug/mL,0.0605
8836,CC1=C(C=C(C=C1)S(=O)(=O)N2CCCCC2)NC(=O)CSC3=NN=C(N3N)C4CC4,ug/mL,0.0563
8837,CC1=C(C(=NN1CC(=O)OCC(=O)NC2=CC(=CC=C2)S(=O)(=O)N)C)[N+](=O)[O-],ug/mL,0.0617
8838,CCN(C1=CC=CC=C1)S(=O)(=O)C2=C(C=CC(=C2)C(=O)NCC(C3=CC=CO3)N4CCCCC4)C,ug/mL,0.0182
8839,CC(=O)C1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC(=C(C=C3)OC)S(=O)(=O)N4CCCC4,ug/mL,0.0707
8840,CCCCCOC1=CC=C(C=C1)C(=O)CCC(=O)NC(C)C2=CC=C(C=C2)S(=O)(=O)N,ug/mL,0.0109
8841,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)S(=O)(=O)NC3=CC=C(C=C3)OC)O,ug/mL,0.0737
8842,C1COC2=C(O1)C=CC(=C2)C3=CSC(=N3)NC(=O)CCCCl,ug/mL,0.0011
8843,CCNC1=C(C=C(C=C1)S(=O)(=O)NCCN(C)C)[N+](=O)[O-],ug/mL,0.0424
8844,CC(C)(CNC1=C(C=C(C=C1)[N+](=O)[O-])C#N)N2CCOCC2,ug/mL,0.0081
8845,CCCN1CCN(CC1)C2=C(C=C(C=C2)S(=O)(=O)N)[N+](=O)[O-],ug/mL,0.0329
8846,CC(C(=O)NC1=CC=C(C=C1)S(=O)(=O)N)SC2=NN=CN2C,ug/mL,0.0512
8847,CS(=O)(=O)C1=CC(=C(C=C1)NCCN2CCOCC2)[N+](=O)[O-],ug/mL,0.0444
8848,COC1=CC=CC(=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4,ug/mL,0.0032
8849,CCN(CC(=O)NCC1=CC=CS1)C(=O)C2=CC(=C(C=C2)Cl)Cl,ug/mL,0.0557
8850,C1C(=O)NC2=CC=CC=C2N1C(=O)COC(=O)CCC(=O)C3=CC=C(C=C3)Cl,ug/mL,0.0572
8851,CCCN(CC(=O)NC1=CC=CC=C1OC)C(=O)C2=NN3C=CC(=NC3=N2)C,ug/mL,0.0574
8852,COC1=C(C=C(C=C1)S(=O)(=O)N)C(=O)NNC(=O)C2COC3=CC=CC=C3O2,ug/mL,0.0078
8853,CCN(C1CCCCC1)C(=O)COC2=CC=C(C=C2)N(C)S(=O)(=O)C3=CC=C(C=C3)NC(=O)C,ug/mL,0.0189
8854,C1CC(CN(C1)C(=O)C2=CC3=C(C=C2)SCC(=O)N3)C(=O)N,ug/mL,0.0479
8855,CC1=C(C=C(C=C1)NC(=O)C(CCSC)NC(=O)C2=CC=CC=C2OC)S(=O)(=O)N3CCOCC3,ug/mL,0.0192
8856,CCCN1C(=O)C2=CC=CC=C2C(=N1)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)NC4=CC=C(C=C4)OC)O,ug/mL,0.0171
8857,C1CC(C2=CC=CC=C2C1)NC(=O)COC(=O)C3=CC=C(C=C3)NC(=O)N,ug/mL,0.011
8858,CC1=CC=C(O1)C(=O)OCC(=O)NCCC2=CC=C(C=C2)S(=O)(=O)N,ug/mL,0.055
8859,C1C2CC3(CC1CC(C2)(C3)Br)C(=O)NNC(=O)C4=CC=CC=C4F,ug/mL,0.0529
8860,COC1=CC=C(C=C1)N2C(=O)C3CCCN3C2=S,ug/mL,0.0393
8861,C1CC2C(=O)N(C(=S)N2C1)C3=CC=C(C=C3)Cl,ug/mL,0.04
8862,C1CN(CCN1C(=O)CNC(=O)N)S(=O)(=O)C2=CC=C(S2)Cl,ug/mL,0.0527
8863,CC1=CC=CC=C1NC(=O)CON=C(C2=CC=CC=C2)N,ug/mL,0.0425
8864,CC1=C(C=C(C=C1)Cl)NC(=O)CON=C(C2=CC=CC=C2)N,ug/mL,0.0324
8865,CC(C)(C)C1=CC=C(C=C1)NC(=O)CON=C(C2=CC=CC=C2)N,ug/mL,0.0038
8866,CC(C(=O)NC1=CC2=CC=CC=C2C=C1)SC3=NN=CN3C,ug/mL,0.0469
8867,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)C(=O)NC(C(C)C)C(=O)NCCC2=CC=CC=N2,ug/mL,0.0691
8868,CC(=O)C(CC1=CC=CC=C1)NC(=O)CN2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)OC,ug/mL,0.0689
8869,CC(C)(C)NC1=C2C=C(SC2=NC=N1)C3=CC=CC=C3,ug/mL,0.0002
8870,C1CN(CCC1C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)N)C(=O)NC3=CC=CC=C3,ug/mL,0.0639
8871,CC1=CC(=C(C=C1)SCC(=O)OCC(=O)NCCC2=CC=C(C=C2)S(=O)(=O)N)C,ug/mL,0.0513
8872,C1=CC(=CC=C1SCC(=O)OCC(=O)NC2=CC3=C(C=C2)NC(=O)N3)Cl,ug/mL,0.0135
8873,C1CCC2C(C1)C(=O)N(C2=O)CC(=O)OCC(=O)NC3=C(C=C(C=C3)[N+](=O)[O-])C#N,ug/mL,0.0622
8874,COC1=CC=C(C=C1)CNC(=O)CSC(=S)N2CCCC2,ug/mL,0.0162
8875,C1CCN(C1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)OCC(=O)NC3=CC(=CC=C3)S(=O)(=O)N,ug/mL,0.0097
