,SMILES,CID,Solubility1,Unit,Molecular_Weight,pubchem_sol_gl,Lit_gram_liter,Error_gl_in_%
273,CN[C@@H]1CC[C@@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,54375.0,28.8 [ug/mL] (The mean of the results at pH 7.4),ug/mL,306.236,0.0288,0.002857960640588672,907.7115685563774
364,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=C2.Cl,24180706.0,"1 to 10 mg/mL at 68.9 °F (NTP, 1992)",mg/mL,290.838,5.5,0.43800453334939876,1155.6947659746295
353,C/C(=N/O)/C(=O)C,6398997.0,"10 to 50 mg/mL at 64 °F (NTP, 1992)",mg/mL,101.105,30.0,1.6979999984868699,1666.7844538712454
354,C/C(=N\O)/C(=O)C,6409633.0,"10 to 50 mg/mL at 64 °F (NTP, 1992)",mg/mL,101.105,30.0,1.6979999984868699,1666.7844538712454
352,CC(=NO)C(=O)C,6398969.0,"10 to 50 mg/mL at 64 °F (NTP, 1992)",mg/mL,101.105,30.0,1.6979999984868699,1666.7844538712454
293,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)NC3=CC=CC=C3,66856.0,2.5 [ug/mL] (The mean of the results at pH 7.4),ug/mL,338.432,0.0025,0.00012000304951258767,1983.2803917518477
69,C1=CC=C(C=C1)C(C(=O)O)N,3866.0,115 mg/mL at 100 °C,mg/mL,151.16499999999996,115.0,4.690012415582471,2352.019095256866
140,C(F)(Cl)(Cl)Cl,6389.0,"10 to 50 mg/mL at 64 °F (NTP, 1992)",mg/mL,137.368,30.0,1.1006163718180058,2625.745388508604
120,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)Br)CO)O,6035.0,"10 to 50 mg/mL at 72 °F (NTP, 1992)",mg/mL,307.1,30.0,0.9665999680397146,3003.662424160911
344,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O,5284603.0,166mg/mL,mg/mL,315.369,166.0,4.161000136189723,3889.425488267543
39,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,2165.0,24.9 [ug/mL] (The mean of the results at pH 7.4),ug/mL,355.8690000000001,0.0249,0.0005771519375370252,4214.288557404804
54,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,3151.0,50.4 [ug/mL] (The mean of the results at pH 7.4),ug/mL,425.9200000000002,0.0504,0.0009863069713692018,5009.970978916856
264,C1CN(CCC1NC(=O)C2=CC=CC=C2)CCC3=CNC4=CC=CC=C43,33625.0,51.7 [ug/mL] (The mean of the results at pH 7.4),ug/mL,347.46200000000005,0.0517,0.000981899970848963,5165.302121895323
287,CCCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCCN(CC)CC.Cl,65341.0,47.4 [ug/mL] (The mean of the results at pH 7.4),ug/mL,389.96700000000016,0.0474,0.0006310048705825925,7411.827912871205
59,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,3334.0,0.9 [ug/mL] (The mean of the results at pH 7.4),ug/mL,299.355,0.0009,1.0000280605692298e-05,8899.747461963292
77,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,4449.0,32.6 [ug/mL] (The mean of the results at pH 7.4),ug/mL,470.0170000000003,0.0326,0.00035880228254571943,8985.783894322363
302,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl.[N+](=O)(O)[O-],68553.0,26.3 [ug/mL] (The mean of the results at pH 7.4),ug/mL,479.1470000000001,0.0263,1.1100277763442083e-05,236831.00803852893
342,CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)OC)O)O,5282381.0,1.6mg/mL,mg/mL,382.54100000000017,1.6,0.00018570000473851816,861504.7168404439
101,CCCCCCCCCCCCCCCCCC(=O)O,5281.0,"1 to 10 mg/mL at 73 °F (NTP, 1992)",mg/mL,284.4839999999999,5.5,0.0005943713204898807,925247.473943881
234,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],8478.0,"10 to 50 mg/mL at 64 °F (NTP, 1992)",mg/mL,448.0910000000002,30.0,0.000591303945840255,5073432.860899379
130,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl.Cl,6239.0,"10 to 50 mg/mL at 64 °F (NTP, 1992)",mg/mL,472.8880000000002,30.0,3.290062616340507e-06,911836648.9725349
121,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O,6055.0,"50 to 100 mg/mL at 61 °F (NTP, 1992)",mg/mL,368.499,75.0,7.360139819535119e-06,1019002280.918589
