Molecular_Weight,SMILES,sol_final,LogS
311.853,CCC1(CC(N(CC1C)C)C)OC(=O)C2=CC=CC=C2.Cl,0.0303,-4.012507297781844
235.75800000000004,C1CCN(CC1)CC#CC2=CC=CC=C2.Cl,0.0256,-3.9642264733060286
212.636,CC1=CC(=O)N2C=CC=C(C2=N1)O.Cl,0.0217,-3.99117706010064
276.767,CC1(CC(=CC(=O)C1)NC2=CC=CC=C2C#N)C.Cl,0.0382,-3.8600509433488717
340.87600000000003,CN(C)CCOC(=O)C1=CC2=C(C=C1)NC3=C2CSCC3.Cl,0.0492,-3.8406313222383432
299.80100000000004,CC1=C2C=C(C=CC2=[N+](C=C1)CC3=CC=CC=C3)OC.[Cl-],0.0319,-3.9730423940666793
293.838,COC(CCN1CCCCC1)(C#C)C2=CC=CC=C2.Cl,0.0272,-4.033539055300045
224.735,CC(CCC1=CC=CC=C1)NCC#N.Cl,0.0311,-3.8589103252399326
271.744,C1COCCN1CCOC(=O)C2=CC=CC=C2.Cl,0.0396,-3.836464777888355
327.855,COC1=C(C2=CC=CC=C2C=C1)CNCCC3=CC=CC=C3.Cl,0.042,-3.892432520925821
285.8149999999999,CCC1=CC=C(C=C1)OCC(CN2CCCC2)O.Cl,0.0398,-3.8562019454053442
299.8419999999998,CCCC1=CC=C(C=C1)OCC(CN2CCCC2)O.Cl,0.0372,-3.9063495261576535
299.8419999999998,CC(C)C1=CC=C(C=C1)OCC(CN2CCCC2)O.Cl,0.0438,-3.8354183555354515
306.203,CC1=CC(=C[N+](=C1)CC(=O)C2=CC=CC=C2)C.[Br-],0.0438,-3.844535330845286
348.87699999999995,CC1=[N+](C2=CC=CC=C2N1CC3=CC=CC=C3)CC4=CC=CC=C4.[Cl-],0.0519,-3.827504981326407
326.912,CC12CC3CC(C1)(CC(C3)(C2)C(=O)N4CCN(CC4)C)C.Cl,0.0478,-3.8350029659631457
340.89500000000004,C1CN2CCC1C(C2)OC(=O)NC34CC5CC(C3)CC(C5)C4.Cl,0.0477,-3.8541022523198003
268.744,COC1=CC(=CC=C1)OCCCN2C=CN=C2.Cl,0.0331,-3.909510783162903
351.443,CC1=C(C(=CC=C1)C)OCCCCN2CCCCC2.C(=O)(C(=O)O)O,0.0454,-3.888799044655694
330.903,CC(CCN1CCN(CC1)C2=CC=CC=C2)C3=CC=CC=C3.Cl,0.0297,-4.046944255218101
351.44300000000004,CC1=CC(=C(C=C1)C)OCCCCN2CCCCC2.C(=O)(C(=O)O)O,0.0475,-3.8691612878879313
340.648,CC1=C[N+](=CC=C1)C(C)C(=O)C2=CC=C(C=C2)Cl.[Br-],0.0449,-3.8800595024658007
325.36099999999993,CC1=C(C(=CC=C1)C)OCCN2CCOCC2.C(=O)(C(=O)O)O,0.0421,-3.8880833983709637
351.2,CC1=C(C=C(C=C1)C(=O)C[N+]2=CC=CC=C2C)[N+](=O)[O-].[Br-],0.0483,-3.861607376482553
299.79799999999994,CCOC1=CC=C(C=C1)C(=O)CCN2CCOCC2.Cl,0.0449,-3.824582390271242
333.1310000000001,CC(C(=O)C1=C(C=C(C=C1)Cl)Cl)N2C=NC=N2.[N+](=O)(O)[O-],0.0441,-3.8781764590219088
340.76300000000003,CC1=C(C(=CC=C1)Cl)OCCCN2C=CN=C2.C(=O)(C(=O)O)O,0.0454,-3.875396580161919
382.8470000000001,COC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=[N+](C=C2)CC3=CC=CC=C3.[Cl-],0.0507,-3.8780172889660207
298.81700000000006,C1CCN(CC1)C2=NC3=CC=CC=C3C4=CC=CC=C42.Cl,0.0018,-5.220132796193251
318.829,CC1=C(SC(=N1)NC2=CC=CC3=CC=CC=C32)C(=O)C.Cl,0.0052,-4.787554473377769
297.22099999999995,CC1=CC=C(C=C1)C2=CSC3=NCCN23.Br,0.0432,-3.8375957442154873
345.85200000000003,CN(C)CCCN1C(SCC1=O)C2=CC=C(C=C2)[N+](=O)[O-].Cl,0.0476,-3.8612833387484566
375.9,COC1=CC=CC=C1C(=O)NCCN2CCN(CC2)C3=CC=CC=C3.Cl,0.0527,-3.8532617105012656
337.41599999999994,CC(C)C1=CC=CC=C1OCCCN2CCCC2.C(=O)(C(=O)O)O,0.047,-3.856067814706709
323.38899999999995,CCC1=CC=CC=C1OCCCN2CCCC2.C(=O)(C(=O)O)O,0.0439,-3.8672607231558787
